id,age,sex,ses_status,BAQ_all,Inattention,PlanningError,EMOQ_all,error_anticipation,error_strain,learning_from_errors,thinking_about_errors,crt_all,Raven_all,aot_all,sds_all,MAAS_all
309,21,Férfi,8,1.62,1.5,1.75,58,15,15,15,13,2,6,64,86,42
52,20,Nő,6,1.75,1,2.5,50,13,11,12,14,1,12,52,109,59
232,20,Nő,6,1.66,1.33,2,69,20,17,12,20,1,11,55,116,37
189,26,Nő,9,1.62,1.25,2,38,13,9,9,7,3,11,39,71,66
340,24,Nő,8,1.57,1.4,1.75,74,21,16,18,19,2,11,67,103,58
165,21,Férfi,7,2.55,1.6,3.5,55,13,11,12,19,2,8,60,75,39
242,20,Férfi,5,2.88,2,3.75,60,17,20,12,11,2,10,65,66,42
343,20,Nő,4,3.17,2,4.33,61,23,20,4,14,3,9,52,75,42
20,19,Nő,7,1.82,1.4,2.25,69,15,15,19,20,3,9,59,107,59
138,18,Nő,7,2.3,1.6,3,62,15,12,15,20,2,6,49,85,57
250,20,Férfi,5,1.48,1.2,1.75,61,19,12,15,15,2,9,62,100,69
206,21,Nő,8,2.1,1.2,3,66,16,21,9,20,3,8,55,83,51
70,22,Nő,9,1.57,1.4,1.75,62,15,14,13,20,3,9,60,111,48
272,21,Nő,7,1.57,1.4,1.75,71,13,21,16,21,3,12,57,89,59
21,25,Nő,5,2.95,2.4,3.5,85,20,22,18,25,3,11,47,108,28
98,18,Nő,4,3.25,3,3.5,41,12,12,8,9,0,4,53,104,60
263,24,Férfi,5,3.58,3.4,3.75,87,24,20,19,24,3,12,70,101,48
282,21,Nő,9,2.15,1.8,2.5,78,16,22,18,22,0,8,61,103,53
29,20,Nő,5,2.5,1.5,3.5,72,21,22,8,21,1,2,57,91,52
5,21,Nő,6,1.5,1.5,1.5,60,19,17,8,16,2,6,55,82,54
22,22,Nő,7,2.1,1.2,3,66,18,15,16,17,2,4,56,120,59
40,20,Nő,9,1.8,1.6,2,59,14,10,14,21,0,9,58,97,61
200,21,Férfi,7,2.85,2.2,3.5,62,20,8,17,17,2,6,63,70,54
7,20,Nő,8,2,1,3,62,17,12,16,17,3,9,61,102,59
213,22,Nő,5,2.45,1.4,3.5,67,19,7,18,23,2,5,60,97,36
