index	neme	eletkora	gyermeke	isk	anyagi	p_elmeny_percent	testi_fi	alt_lelki	alt_eg_all	fizero	arcocska	aggodalo	ideges	feszult	nyugtala	diener1	diener2	diener3	diener4	diener5	diener6	diener7	diener8	jollet	savor	a_vhat	onreg	rezil	m_flow	g_jerz	g_jpszi	g_jszoc	g_jspir	g_jerzpsz	g_jspszoc	pik_mm	pik_av	pik_onr	pik_rez	p_poz_erz	p_elmely	p_poz_kapc	p_ert_cel	p_telj	p_boldog	p_egeszs	p_neg_erz	p_magany	perma
1685	ferfi	55	2	kozepiskola	3	30	4	5	4	4	2	3	4	4	4	7	7	7	6	6	6	6	6	5.3333	5	4.4	4.6667	4.6667	5.3333	5.8	5.5	4.25	4.5	5.65	4.375	3.5	3.5	3.3333	3.6667	24	26	28	27	25	10	18	15	1	182
1687	ferfi	72	1	kozepiskola	3	50	4	5	5	5	2	3	3	2	3	6	5	6	4	5	6	6	6	3.6667	5.3333	4.6	4.3333	4.3333	3.3333	4.6	5	3.75	4.25	4.8	4	3.3333	3	2.6667	2.6667	25	21	21	20	19	8	21	5	1	169
1688	ferfi	61	2	kozepiskola	3	60	4	5	4	4	1	3	4	3	2	7	5	7	5	6	6	7	6	5	3.6667	3.8	4	3	5.3333	4.4	5	3.5	4.5	4.7	4	3	2.75	2.3333	3.3333	19	26	23	26	18	8	16	11	2	163
1690	ferfi	47	1	kozepiskola	3	90	4	5	4	6	1	1	1	1	2	7	6	7	7	6	6	7	5	5	5	5.2	5	4.3333	5.3333	5.2	5.5	5	5.75	5.35	5.375	3.8333	3	3.3333	3.6667	26	22	24	28	27	8	27	8	0	194
1691	ferfi	46	2	egyetem	3	80	4	4	5	5	2	2	2	1	1	5	5	6	6	6	6	7	6	5	4	5	4.3333	4.3333	5.3333	4.2	4.75	4.5	5	4.475	4.75	3	3.25	2.6667	4	21	22	22	24	19	8	21	9	0	168
1695	no	59	2	foiskola	3	70	4	4	4	4	2	3	2	2	2	6	5	6	5	5	5	6	5	5	5	4.6	4.6667	5	4.6667	4	4	2.5	2.75	4	2.625	3.8333	3.5	3.6667	4	26	26	25	25	24	8	22	15	0	181
1696	ferfi	46	2	foiskola	4	70	5	5	5	5	1	4	3	3	2	6	6	6	5	6	6	6	6	5	3.3333	4	3.6667	3.6667	5.3333	5.8	5	4.25	4.75	5.4	4.5	2.5	2.75	2.6667	3.6667	26	28	28	27	27	9	28	6	0	207
1710	ferfi	47	2	foiskola	3	80	5	4	5	6	2	2	1	2	1	6	5	7	5	6	7	6	5	5	5.6667	4.4	5	4.3333	5.3333	4.8	4.5	2.75	4.25	4.65	3.5	3.1667	3	3.6667	3	26	25	23	26	26	8	27	8	0	193
1713	ferfi	56	3	egyetem	4	70	6	5	6	6	1	1	1	1	1	7	7	7	7	7	7	7	7	6	6	6	6	5.6667	6	5.2	6	5.25	6	5.6	5.625	3.3333	4	4	4	26	29	29	30	27	10	30	5	0	216
1720	ferfi	68	0	egyetem	4	90	4	6	1	4	2	1	1	1	1	7	6	7	6	7	7	7	7	6	6	5.8	4.3333	4.3333	5.6667	5.8	6	4.25	3.5	5.9	3.875	3.8333	4	3.3333	3.3333	29	26	24	27	26	8	26	4	2	200
1723	no	62	2	kozepiskola	3	50	6	5	6	6	2	5	5	5	5	7	6	6	6	7	7	7	6	6	5.3333	5.8	4	4.6667	5.6667	5.4	5.75	5.5	5.25	5.575	5.375	3.8333	3.75	4	3.6667	26	27	26	24	25	9	27	5	2	197
1724	ferfi	34	2	kozepiskola	2	50	4	4	4	3	3	3	3	3	4	1	3	3	3	3	3	2	2	2.6667	3	2.8	3.6667	3.6667	3.3333	2	1.25	1.5	2	1.625	1.75	1.5	1.5	3.6667	3	16	18	13	16	16	4	25	19	3	126
1726	ferfi	66	2	egyetem	3	70	4	4	4	2	3	2	2	3	1	5	5	6	5	5	5	6	6	4	2	3.8	4.6667	3	5	2.6	3.25	3.75	3.25	2.925	3.5	2.3333	3	3.3333	4	24	27	27	24	20	7	15	11	1	172
1728	no	41	2	foiskola	3	50	2	3	2	3	5	6	5	5	5	6	5	5	5	6	6	4	7	3.6667	4.6667	4.6	3.3333	3	5	3	3.75	4.75	5.25	3.375	5	2.5	3	2.3333	2.3333	16	26	22	22	25	7	9	19	6	142
1732	ferfi	59	1	egyetem	3	80	3	4	4	3	2	2	2	2	3	6	6	6	6	6	6	6	6	5	5	5.2	5	4.3333	5.3333	3.8	4	4	4	3.9	4	3	3	3.6667	2.6667	25	28	27	27	26	8	20	11	1	189
1737	no	50	1	foiskola	3	90	4	5	4	5	2	1	1	1	1	6	4	5	5	7	7	7	6	5	5	4.8	6	5	5.6667	4.6	4.75	2.75	2.5	4.675	2.625	3.5	3.25	4	4	23	21	26	25	26	8	22	5	8	178
1738	ferfi	45	3	egyetem	3	80	3	5	3	3	2	1	1	1	1	7	6	7	6	7	7	7	6	5.3333	5.3333	5.6	5	4.3333	5.6667	5.6	5.75	5.25	4.25	5.675	4.75	3.5	3.75	4	3.6667	27	27	27	30	28	9	17	3	0	202
1739	no	61	1	foiskola	3	50	5	5	5	5	3	3	2	2	1	6	6	6	5	6	6	6	6	5	4.6667	5.6	4.6667	4.3333	5.6667	4.4	4.75	4.75	4.25	4.575	4.5	3.1667	3.75	3.3333	3.3333	20	20	19	21	24	8	24	13	7	156
1740	ferfi	75	2	kozepiskola	3	30	2	3	1	2	4	3	4	3	4	4	3	5	5	4	4	4	5	3.6667	5.3333	4.8	2.6667	3.6667	5.3333	2.6	2.75	1.75	3.75	2.675	2.75	3	3.5	2.6667	3	14	24	15	18	21	3	7	16	7	119
